lu_assmt,year_lcc,landuse1,landuse2,nyt,rat,nightt,morningt,endt,dayt,dist2s1,dist2s2,dist2s3,dist2s4,dist2s5,dist2s6,dist2rec,dist2tr,dist2ma,dist2res,dist2gov,dist2of,dist2ot,dist2co,num2s1,num2s2,num2s3,num2s4,num2s5,num2s6,num2rec,num2tr,num2ma,num2res,num2gov,num2of,num2ot,num2co,area
gc,1.02643013,Residential real estate,Residences,4,9,184,94,143,281,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,26,1,20,14,208,1,43,11,17,4,32,0,161,78.95832902
gc,6.646597862,Residential real estate,Residences,8,2,76,65,50,110,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,18,1,16,18,344,3,31,1,17,4,46,0,295,23.69573317
gc,1,Residential real estate,Residences,0,1,28,50,47,151,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,19,1,12,1,248,1,29,1,18,7,26,0,199,6.659231294
gc,10.79823303,Residential real estate,Residences,15,5,122,98,120,284,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,19,0,5,5,240,0,26,1,19,2,20,0,201,45.91449812
gc,3.647803068,Residential real estate,Residences,16,8,143,58,96,231,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,19,0,13,4,312,0,31,1,19,3,17,0,277,24.80236082
gc,12.37777042,Residential real estate,Residences,10,4,48,35,43,109,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,19,0,5,4,179,1,9,0,19,0,16,0,162,31.16560319
gc,4.556661606,Residential real estate,Residences,1,2,55,19,34,56,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,21,0,5,11,49,0,11,2,20,1,15,0,37,32.60980227
gc,4.267338276,Residential real estate,Residences,11,5,151,86,139,231,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,20,1,17,5,211,0,40,2,20,5,16,0,171,27.65352572
gc,1,Residential real estate,Residences,5,4,131,101,130,221,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,19,2,9,3,234,1,37,3,21,1,14,0,190,16.95165008
gc,9.282097816,Residential real estate,Residences,1,2,118,46,67,109,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,20,2,12,5,142,0,26,1,22,8,14,0,110,32.85450132
gc,12.68495464,Residential real estate,Residences,16,9,240,77,162,261,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,22,0,3,3,371,0,120,0,22,2,16,0,239,66.3254855
gc,1.000019431,Residential real estate,Residences,2,5,151,154,155,413,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,11,30,34,0,260,4,18,1,22,10,58,0,222,15.59852399
gc,8.766658783,Residential real estate,Residences,10,4,147,96,179,311,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,27,0,22,23,374,0,38,2,26,9,49,0,322,52.86007123
gc,6.700056076,Residential real estate,Residences,10,14,421,288,509,1101,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,29,0,39,23,1154,3,245,3,27,15,63,0,889,54.62925407
gc,12.00337982,Residential real estate,Residences,9,4,254,73,166,291,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,28,0,6,8,472,1,125,0,28,2,25,0,333,50.77571953
gc,6.711378098,Residential real estate,Residences,9,13,249,104,225,379,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,28,0,22,19,520,7,70,2,28,14,46,0,422,40.64583984
gc,1.014676332,Car,Parking lot,15,9,262,146,235,470,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,31,3,84,22,521,2,65,2,32,10,40,1,509,32.82812733
gc,5.054776192,Residential real estate,Residences,10,1,32,27,43,75,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,33,1,37,11,598,1,40,4,33,20,54,0,528,18.46821934
gc,1.204128027,Residential real estate,Residences,9,11,756,421,444,1133,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,34,4,30,22,698,4,43,2,34,8,60,0,637,38.13245774
gc,4.984754086,Residential real estate,Residences,6,3,205,87,223,304,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,45,2,47,37,1391,6,105,10,40,22,85,0,1254,54.71175346
gc,1.028296351,Residential real estate,Residences,12,9,298,181,224,516,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,34,3,64,33,1065,2,142,1,41,39,108,0,866,49.47572274
gc,5.554084301,Residential real estate,Residences,28,35,817,355,591,1079,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,60,0,63,34,1791,14,185,4,58,20,117,0,1550,107.2699246
gc,1.018174291,Residential real estate,Residences,37,49,1238,664,851,1717,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,84,26,99,19,1269,6,259,2,88,39,157,0,946,126.1899072
ma,1.013646364,Corporate,Agriculture_forestry_animal husbandry and fishery,0,0,9,8,11,32,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,2,0,2,4,4,0,0,3,0,0,4,0,5,12.61095378
ma,6.534443378,Car,Parking lot,0,0,7,14,5,26,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,12,2,0,0,3,0,0,12,0,2,27.44026435
ma,3.896811008,Car,Driving,1,0,1,2,0,4,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,3,0,2,2,1,0,0,5,0,0,3,0,0,5.248439257
ma,1.011725903,Corporate,Agriculture_forestry_animal husbandry and fishery,0,0,1,5,0,13,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,3,12,0,1,1,0,0,3,0,10,4.742445797
ma,8.897445679,Residential real estate,Business building,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,9,6,3,0,1,8,0,0,7,0,2,0.52588444
ma,10.14680195,Institutional entities,Government agencies,0,0,4,4,3,23,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,4,0,1,5,2,0,2,4,0,1,5,0,0,65.63212541
ma,10.35797024,Institutional entities,Public security agencies,0,0,0,2,0,5,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,7,0,3,1,0,1,1,0,4,18.84115141
ma,8.855453491,Car,Auto Sales,0,0,2,11,7,25,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,4,0,22,0,11,4,0,0,2,0,9,15.41240798
ma,1.075155377,Shopping,Furniture_home building,1,0,9,8,4,29,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,4,0,4,4,15,2,5,6,0,0,4,0,10,40.92545838
ma,8.100012779,Corporate,Agriculture_forestry_animal husbandry and fishery,0,0,15,4,8,14,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,1,0,0,0,0,6.024748395
ma,5.184524059,Institutional entities,Government agencies,0,1,7,6,8,23,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,7,0,1,7,5,1,2,7,1,0,6,0,3,57.14544049
